data,region,pb95,pb98,on
2026-09-21,polska,7.86,8.38,8.84
2026-09-21,dolnośląskie,7.97,8.51,8.89
2026-09-21,kujawsko-pomorskie,7.82,8.81,8.78
2026-09-21,lubelskie,7.98,8.44,8.91
2026-09-21,lubuskie,7.29,,
2026-09-21,łódzkie,7.85,8.08,9.12
2026-09-21,małopolskie,7.84,8.31,8.58
2026-09-21,mazowieckie,7.97,8.42,8.93
2026-09-21,opolskie,7.84,8.59,8.67
2026-09-21,podkarpackie,7.80,8.50,8.00
2026-09-21,podlaskie,7.86,,8.92
2026-09-21,pomorskie,7.82,8.39,8.89
2026-09-21,śląskie,7.76,7.91,8.86
2026-09-21,świętokrzyskie,7.79,,9.00
2026-09-21,warmińsko-mazurskie,,,9.01
2026-09-21,wielkopolskie,7.91,8.48,8.62
2026-09-21,zachodniopomorskie,7.86,8.53,8.86
2026-09-22,polska,7.87,8.41,8.79
2026-09-22,dolnośląskie,7.97,8.65,8.73
2026-09-22,kujawsko-pomorskie,7.84,8.81,8.80
2026-09-22,lubelskie,7.96,8.44,8.95
2026-09-22,lubuskie,7.44,,
2026-09-22,łódzkie,7.88,8.08,9.21
2026-09-22,małopolskie,7.85,8.31,8.55
2026-09-22,mazowieckie,7.97,8.42,8.99
2026-09-22,opolskie,7.86,8.59,8.67
2026-09-22,podkarpackie,7.96,8.50,7.60
2026-09-22,podlaskie,7.86,8.73,8.92
2026-09-22,pomorskie,7.85,7.99,8.88
2026-09-22,śląskie,7.85,7.77,8.55
2026-09-22,świętokrzyskie,7.63,,9.00
2026-09-22,warmińsko-mazurskie,,,9.01
2026-09-22,wielkopolskie,7.89,8.29,8.62
2026-09-22,zachodniopomorskie,7.89,8.50,8.88
2026-09-23,polska,7.87,8.49,8.81
2026-09-23,dolnośląskie,8.01,8.60,8.64
2026-09-23,kujawsko-pomorskie,7.81,8.81,8.86
2026-09-23,lubelskie,7.93,8.44,9.00
2026-09-23,lubuskie,7.44,,
2026-09-23,łódzkie,7.79,8.26,9.13
2026-09-23,małopolskie,7.88,8.69,8.55
2026-09-23,mazowieckie,7.96,8.54,9.01
2026-09-23,opolskie,7.86,8.59,8.62
2026-09-23,podkarpackie,7.97,8.50,7.96
2026-09-23,podlaskie,7.83,8.73,
2026-09-23,pomorskie,7.86,7.99,8.85
2026-09-23,śląskie,7.89,8.03,8.71
2026-09-23,świętokrzyskie,7.63,,9.01
2026-09-23,warmińsko-mazurskie,,,9.05
2026-09-23,wielkopolskie,7.89,8.29,8.73
2026-09-23,zachodniopomorskie,7.90,8.80,8.88
2026-09-24,polska,7.87,8.53,8.84
2026-09-24,dolnośląskie,7.72,8.60,8.64
2026-09-24,kujawsko-pomorskie,7.79,,8.86
2026-09-24,lubelskie,7.93,8.44,8.98
2026-09-24,lubuskie,7.94,,
2026-09-24,łódzkie,7.79,8.26,9.07
2026-09-24,małopolskie,7.90,8.69,8.88
2026-09-24,mazowieckie,8.00,8.54,8.97
2026-09-24,opolskie,7.86,8.59,8.56
2026-09-24,podkarpackie,7.97,,8.30
2026-09-24,podlaskie,7.83,,8.99
2026-09-24,pomorskie,7.85,7.83,8.96
2026-09-24,śląskie,7.87,8.57,8.56
2026-09-24,świętokrzyskie,7.78,,9.01
2026-09-24,warmińsko-mazurskie,,,9.05
2026-09-24,wielkopolskie,7.89,8.57,8.70
2026-09-24,zachodniopomorskie,7.88,8.80,8.88
2026-09-25,polska,7.87,8.54,8.83
2026-09-25,dolnośląskie,7.65,8.60,8.55
2026-09-25,kujawsko-pomorskie,7.64,,8.84
2026-09-25,lubelskie,7.92,8.44,8.97
2026-09-25,lubuskie,7.96,,
2026-09-25,łódzkie,7.83,8.26,9.07
2026-09-25,małopolskie,7.91,8.69,8.88
2026-09-25,mazowieckie,8.01,8.52,8.97
2026-09-25,opolskie,7.85,8.59,8.56
2026-09-25,podkarpackie,7.97,,8.30
2026-09-25,podlaskie,7.81,8.20,8.99
2026-09-25,pomorskie,7.79,7.83,8.92
2026-09-25,śląskie,7.88,8.53,8.56
2026-09-25,świętokrzyskie,7.94,,9.01
2026-09-25,warmińsko-mazurskie,,,9.05
2026-09-25,wielkopolskie,7.95,8.84,8.76
2026-09-25,zachodniopomorskie,7.85,8.80,8.88
